platform,url,title,price,discount,rating,reviews,scraped_at
amazon,https://www.amazon.com/dp/B08N5WRWNW,Not Found,Not Found,0%,Not Found,0,2025-09-01 01:39:56.174813
amazon,https://www.amazon.com/dp/B08N5P7HW6,Not Found,Not Found,0%,Not Found,0,2025-09-01 01:40:10.634988
ebay,https://www.ebay.com/itm/284003123456,Not Found,Not Found,0%,Not Found,0,2025-09-01 01:40:41.094634
ebay,https://www.ebay.com/splashui/challenge?ap=1&appName=orch&ru=https%3A%2F%2Fwww.ebay.com%2Fitm%2F284003123457&iid=72d1069f-68fd-4e92-a1af-094023f0878c&iim=JMTk3Lju&iia=yQI0OC43TN&iiz=QgYMS4yMDE*jPZ,Not Found,Not Found,0%,Not Found,0,2025-09-01 01:41:00.313948
aliexpress,https://www.aliexpress.com/item/4001234567890.html,Not Found,Not Found,0%,Not Found,0,2025-09-01 01:41:29.775714
aliexpress,https://www.aliexpress.com/item/4001234567891.html,Not Found,Not Found,0%,Not Found,0,2025-09-01 01:41:51.158413
jumia,https://www.jumia.com.ng/catalog/product1234567/,Not Found,Not Found,0%,Not Found,0,2025-09-01 01:42:09.862621
jumia,https://www.jumia.com.ng/catalog/product1234568/,Not Found,Not Found,0%,Not Found,0,2025-09-01 01:42:42.788768
amazon,https://www.amazon.com/s?k=gaming,Not Found,"1,274.99",0%,4.6,0,2025-09-01 01:52:58.315071
amazon,https://www.amazon.com/s?k=gaming,Not Found,"2,080.99",0%,4.3,0,2025-09-01 02:06:11.516412
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$2,080.99",0%,4.3,,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,274.99",0%,4.6,81,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,$299.99,0%,Not Found,Aug,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,499.99",0%,4.8,38,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,599.99",0%,4.7,11,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,$54.00,0%,4.6,Mar,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,$59.99,0%,5.0,6,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,$39.00,0%,4.0,369,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,$219.99,0%,4.4,949,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,$319.96,0%,4.3,748,2025-09-01 02:32:00.389681
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$2,080.99",0%,4.3,,2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,274.99",0%,4.6,81,2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,$59.99,0%,5.0,6,2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,$967.04,0%,4.4,"5,668",2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,499.99",0%,4.8,38,2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,$11.99,0%,4.7,"1,329",2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,$299.99,0%,Not Found,Aug,2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,$39.00,0%,4.0,369,2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,$54.00,0%,4.6,Mar,2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,$18.99,0%,4.3,"119,012",2025-09-01 02:44:49.909156
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.3,,2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,274.99",0%,4.6,81,2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,499.99",0%,4.8,38,2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,599.99",0%,4.7,11,2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,$39.00,0%,4.0,369,2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,$54.00,0%,4.6,Mar,2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.1,96,2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.7,"28,229",2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.7,"1,329",2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.8,302,2025-09-01 02:46:33.128892
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,274.99",0%,4.6,,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,499.99",0%,4.8,38,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,$59.99,0%,5.0,6,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,219.99",0%,4.6,936,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$6,499.99",0%,Not Found,Only,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$2,080.99",0%,4.3,123,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,$89.00,0%,3.3,Jun,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$2,199.99",0%,4.5,13,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,599.99",0%,4.7,11,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$2,159.99",0%,4.1,547,2025-09-01 02:52:17.138124
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.3,,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,274.99",0%,4.6,81,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,5.0,6,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$967.04,0%,4.4,"5,668",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,499.99",0%,4.8,38,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.7,"1,329",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$39.00,0%,4.0,369,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$54.00,0%,4.6,Mar,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.8,302,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.7,"28,229",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$219.99,0%,4.4,949,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$39.98,0%,4.4,"22,939",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,599.99",0%,4.7,11,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$24.99,0%,4.8,"1,977",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$10.00,0%,4.5,May,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.7,"3,753",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.4,648,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.3,USB,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.7,"39,512",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$389.99,0%,4.5,520,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.4,"18,152",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$219.00,0%,4.4,"1,006",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$1,479.99",0%,4.8,14,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,"$2,349.99",0%,4.0,49,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$759.99,0%,4.3,"1,262",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.1,"10,620",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$186.79,0%,4.4,"1,164",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.4,"9,496",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.6,"21,581",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$849.99,0%,4.6,8,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.4,"1,934",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$449.99,0%,4.4,"1,470",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.6,"34,529",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$39.98,0%,4.6,"8,465",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$810.99,0%,4.3,457,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.4,747,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$14.99,0%,4.7,"101,275",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$674.98,0%,4.2,5,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.6,"8,405",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.3,748,2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$159.99,0%,4.7,"14,314",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,Not Found,0%,4.6,"4,963",2025-09-01 02:55:22.060628
amazon,https://www.amazon.com/s?k=gaming,Not Found,$349.00,0%,4.4,"2,301",2025-09-01 02:55:22.060628
